source,target
612820,290349
81414,372823
16381,290855
783412,321999
216711,149687
189534,357230
171131,92670
102122,508226
773030,1486749
74765,607593
667141,354920
781574,218021
1329081,774608
491274,423944
62670,102039
544904,454316
356551,167449
20991,334647
19541,34930
68019,725799
167609,162259
178924,476278
444668,256744
559045,902690
17371,81826
509779,139895
150205,311787
735225,175575
627796,386220
707697,817938
490701,772178
354050,507978
169033,474554
384731,79815
543391,213750
219769,302992
944696,522957
1174295,1318679
4007,32143
818661,929959
934458,443915
118019,152857
702403,303205
357335,287174
275136,828431
219475,555657
114728,234520
164689,555788
828123,309926
271675,371962
74545,760008
67154,70399
314881,122684
70497,323907
293879,416402
1074255,157979
278957,169769
561404,44756
208161,290978
938028,126531
29325,330655
759867,281813
396202,485883
480540,43808
91214,52050
313540,19163
56339,85066
499441,1370891
233229,233762
1008257,1467423
596688,525613
582052,348229
1273766,565857
1136009,870586
296535,422668
528276,243960
144864,77932
713378,65955
48804,130331
31099,8331
643588,199548
174737,170387
850265,624628
229755,251478
57096,651437
1106608,1045069
179048,490724
1159560,674769
73718,311458
315058,886033
219590,219701
389616,460182
607349,440115
1024969,1025317
299923,500880
120674,100146
305251,431675
289952,858281
159558,159497
657085,265394
210335,428662
708510,655155
678534,587621
625207,636365
50281,355144
569003,314379
606240,617806
127712,156300
477763,341928
758642,769715
189454,1079138
121352,70469
399110,27893
314450,141490
212572,356107
613676,124912
685783,765139
505286,617504
168373,646046
680224,733078
261123,262199
1056279,278278
838888,713191
857213,145111
38225,102629
175736,211120
982302,145086
21167,332998
932642,366844
253535,779176
336060,632014
210926,210928
45895,240084
160951,24120
516029,101405
1213949,291241
738651,446803
252777,740131
162456,167294
635403,410440
437468,512924
331265,187596
1267947,359270
617915,412090
395551,395672
104764,225633
208521,749752
102193,299706
191095,163413
790516,336275
509891,512811
483722,485667
206282,231989
794561,92064
537750,621128
362953,362553
1381973,507721
536477,1252349
334580,412058
296845,57038
168131,497832
101214,445091
449457,570865
431037,178419
65737,418799
812881,191555
31988,266176
1133467,513175
80101,133028
112547,570666
594888,514925
118325,546519
897858,924957
673320,638501
356772,407981
552215,635173
43958,312166
320081,676794
316486,316701
551402,52049
405579,485138
471462,888946
195385,222459
500939,185016
1131999,1571811
6962,48051
672933,283552
744218,471765
83906,45085
675509,82976
1268675,349304
481449,363855
802608,378565
210208,857988
839499,516776
615183,239287
275066,1010193
81554,716404
